TAHUN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,6.366666666666666,6.161290322580645,5.967741935483871,5.451612903225806,5.354838709677419,5.064516129032258,4.290322580645161,4.290322580645161,4.67741935483871,5.064516129032258,4.806451612903226,4.290322580645161,4.967741935483871,5.774193548387097,4.064516129032258
2,5.5,6.035714285714286,5.758620689655173,4.785714285714286,5.0,4.25,4.310344827586207,4.535714285714286,4.0,4.321428571428571,5.689655172413793,5.071428571428571,4.214285714285714,4.571428571428571,4.344827586206897
3,6.548387096774194,5.32258064516129,5.290322580645161,5.096774193548387,3.4516129032258065,5.0,4.548387096774194,3.935483870967742,4.225806451612903,4.806451612903226,4.387096774193548,4.612903225806452,4.516129032258065,3.838709677419355,4.225806451612903
4,4.0,4.833333333333333,4.566666666666666,4.566666666666666,4.633333333333334,5.0,4.3,3.9,3.533333333333333,3.966666666666667,4.666666666666667,4.6,3.933333333333333,3.7333333333333334,3.3666666666666667
5,4.870967741935484,4.838709677419355,5.064516129032258,3.935483870967742,4.032258064516129,5.0,3.3548387096774195,3.5483870967741935,3.129032258064516,3.3870967741935485,3.903225806451613,4.193548387096774,3.6774193548387095,4.548387096774194,3.3225806451612905
6,5.866666666666666,5.666666666666667,5.8,3.966666666666667,4.5,5.0,3.5,3.8,3.533333333333333,4.3,3.933333333333333,3.3333333333333335,3.933333333333333,3.8666666666666667,3.066666666666667
7,3.0,4.967741935483871,5.580645161290323,4.483870967741935,5.548387096774194,5.0,4.225806451612903,3.838709677419355,4.354838709677419,4.645161290322581,4.451612903225806,3.870967741935484,4.32258064516129,4.096774193548387,3.838709677419355
8,5.193548387096774,5.935483870967742,8.0,5.064516129032258,5.354838709677419,5.0,4.741935483870968,4.032258064516129,4.064516129032258,4.096774193548387,4.32258064516129,4.032258064516129,4.096774193548387,4.548387096774194,3.5806451612903225
9,5.0,5.633333333333334,8.0,5.2,4.666666666666667,5.0,3.6333333333333333,4.3,3.8,4.633333333333334,4.1,3.8,3.966666666666667,4.0,3.2
10,6.67741935483871,5.354838709677419,5.0,4.806451612903226,4.709677419354839,5.0,3.7096774193548385,3.6451612903225805,3.4516129032258065,4.193548387096774,4.225806451612903,3.7419354838709675,4.096774193548387,4.0,2.870967741935484
11,5.3,5.166666666666667,4.466666666666667,4.3,4.266666666666667,3.7,3.7666666666666666,4.333333333333333,4.3,3.9,4.533333333333333,3.8666666666666667,4.433333333333334,3.566666666666667,3.2666666666666666
12,5.67741935483871,6.483870967741935,5.193548387096774,3.967741935483871,4.129032258064516,7.0,4.741935483870968,4.161290322580645,4.645161290322581,4.903225806451613,4.516129032258065,5.806451612903226,4.161290322580645,3.5806451612903225,3.903225806451613
